long,lat,demolition
-83.0504460823,42.3442184174,0
-83.1009721217,42.4454874882,0
-83.0210683642,42.4405869407,0
-83.1287044152,42.351180059,0
-83.2113091068,42.4165864267,0
-83.1885785506,42.3740744224,0
-83.0766131343,42.4226515289,1
-83.1671114688,42.3676077764,1
-83.0206174696,42.3814464192,0
-83.0644475291,42.430709887,0
-83.0094087881,42.3978117144,0
-83.1300782416,42.3684585647,1
-82.9869845388,42.4179051,1
-83.0592036992,42.4265647459,0
-83.1869655536,42.4023381036,1
-82.9239869367,42.4190357646,0
-83.0555338647,42.429838358,0
-83.1337956217,42.3046549549,1
-83.0143368281,42.3893113878,0
-83.1670946748,42.4285797148,0
-83.0339469222,42.3775211944,0
-83.1482288936,42.2880798583,1
-83.0457538,42.331427,1
-83.2151749356,42.3687509784,1
-82.9650371589,42.4396639992,1
-83.2638528815,42.4090856405,1
-83.0793903939,42.3500861828,0
-83.2149136413,42.4352515461,0
-83.2159273875,42.4071204642,0
-83.0992375786,42.3002507616,0
-83.2028989508,42.4109083809,0
-83.122518539,42.3054290832,1
-83.0748882153,42.3864900413,0
-83.1890859242,42.4140195797,0
-83.1200080614,42.3097768726,1
-83.2344876402,42.4105029668,0
-83.1302820498,42.3027987358,1
-83.0316769101,42.3720761772,1
-83.0452287668,42.4330441387,0
-83.0701376328,42.3693814269,0
-83.1340105251,42.4023483799,1
-83.0128611361,42.3689492934,1
-83.1214214917,42.3672079167,0
-83.1833253771,42.3684395359,0
-83.0527254991,42.3488318091,0
-83.0663003391,42.3751636172,1
-83.1650112524,42.4101544514,0
-83.1452628708,42.2836304655,1
-83.1048765213,42.4329930796,1
-83.0654727155,42.3690852893,0
-83.0998949282,42.3840855547,1
-82.9820042302,42.3968010305,1
-83.0918023569,42.4449392355,0
-83.1218537418,42.311710589,1
-83.0125605677,42.4339374757,0
-82.9984997564,42.3812499429,1
-83.1793950962,42.3756661457,0
-83.1147977122,42.3295756872,1
-83.0988671454,42.4341138139,0
-83.1217883076,42.3769586936,0
-83.1343453964,42.4102339954,1
-82.9923391519,42.3665338921,0
-83.0242173278,42.4246862025,0
-82.9635901766,42.379661994,0
-82.9797130309,42.4093869907,0
-83.0454728104,42.3722719545,1
-83.0001196802,42.3599908074,1
-83.2595654793,42.3978994651,1
-83.0859633,42.331465,1
-83.1259206839,42.4075055445,0
-83.2526767059,42.4312982054,1
-82.9845218313,42.3867816815,0
-83.2271590041,42.3610248749,1
-82.9486387225,42.3954434125,0
-83.1478716257,42.3709633742,0
-83.0437136901,42.3727477977,1
-83.1457611172,42.2889097871,1
-83.0952764844,42.3359513632,0
-83.0969825379,42.3657378956,1
-83.2421888836,42.375852926,1
-83.1025610725,42.3132042063,0
-83.1354871921,42.3781218229,1
-83.1505479341,42.4020362235,1
-82.9551809403,42.3982684432,1
-83.2187164944,42.3440344721,1
-83.1736794113,42.394277351,0
-83.0011092963,42.3642529757,0
-83.0465425856,42.3381668751,0
-82.9439547352,42.4245334552,1
-83.1484620493,42.3404514618,1
-83.0771658232,42.3375266387,0
-83.1300671569,42.3839893197,0
-83.1173421141,42.3276219115,0
-83.246102041,42.4285803348,1
-83.1431358448,42.3220662544,1
-83.0579957628,42.3775729483,0
-82.9436141788,42.3925892858,0
-82.9781996153,42.4421416438,1
-83.0787212,42.3313539,1
-83.0365028201,42.4043743705,0
-83.1624210831,42.3706847712,0
-83.1007620115,42.4192279778,0
-83.266580326,42.4413229831,0
-82.9472113473,42.4155273956,1
-83.2602312088,42.4230519926,0
-83.1110560277,42.3089202085,0
-83.1470948911,42.291751502,1
-83.0798499533,42.4260410197,0
-82.9555783487,42.3799922074,1
-82.9438692107,42.4256171744,0
-83.1600903029,42.3666861025,1
-83.0388742608,42.4098690199,1
-83.0178160778,42.3586212268,0
-83.0339827959,42.3605489836,0
-83.10128789,42.338691151,0
-83.0431375422,42.365945651,1
-83.0655322137,42.4450262536,0
-83.0080241668,42.3546414228,1
-83.1192400018,42.3988375967,1
-83.0891573399,42.3324207333,1
-83.144941743,42.3564222953,0
-83.131181037,42.3152275316,1
-83.0882877165,42.3223954625,1
-83.1458456139,42.2829303201,1
-83.1454153642,42.2918104977,1
-83.1531100958,42.441995087,0
-82.9922072542,42.3801805309,0
-83.18525914,42.388816609,0
-83.2167269747,42.3404695646,1
-83.0999056067,42.3456976092,1
-83.1971325574,42.4123877356,1
-83.1154922181,42.2927199092,1
-83.0634768746,42.3512847696,1
-83.1216036417,42.3966720612,0
-82.9994538486,42.3909872603,0
-83.1310646083,42.3773691781,0
-83.0703441251,42.3325097891,0
-83.0722480159,42.4235748791,0
-83.0376177149,42.425709876,0
-83.1044749388,42.4346948353,1
-83.1878615225,42.4440021866,0
-83.0373365241,42.4302483586,1
-83.0406126199,42.4316409819,1
-83.0977771743,42.3146810225,1
-83.1943495801,42.4056309186,0
-83.2573705175,42.3455008212,0
-83.1250540364,42.412805293,0
-83.1220066429,42.3010669411,1
-83.1575125006,42.4199383167,0
-83.1125499379,42.4179035948,1
-83.195659674,42.397219401,0
-82.9660731612,42.4181302417,0
-83.0950538729,42.3560805725,0
-83.0327071588,42.4389062159,1
-83.1260294397,42.2901587968,1
-83.1296750139,42.3317793891,1
-82.9870417193,42.4308421674,1
-83.0802318553,42.4252572593,1
-83.1454331342,42.2914426009,1
-83.08018231,42.3766117944,1
-83.2050623,42.3953619,1
-83.2287185333,42.3513496562,1
-83.2574260475,42.4305359372,0
-83.1644071886,42.418020605,1
-83.148402612,42.4312106413,0
-83.15579224,42.4065768781,0
-82.9785324212,42.4208350111,0
-83.083821984,42.3767669069,1
-83.0246151455,42.3817830935,0
-83.0877346046,42.3624263462,1
-83.1255206386,42.2958891819,0
-83.0724760758,42.44066237,0
-83.0937394382,42.3054292655,1
-83.1228801547,42.3101560066,1
-83.181175495,42.374835861,0
-82.9495194316,42.3995758901,1
-83.2207687133,42.3983916529,0
-83.2382874979,42.388284093,1
-82.9975995744,42.3882781166,1
-82.9373072914,42.4195910299,1
-83.1233114451,42.3480344237,0
-82.9906259359,42.3861530456,0
-83.2368238106,42.4073401205,0
-83.0420230718,42.4397901647,0
-83.1415494972,42.3575763448,1
-82.9684456501,42.4289012843,1
-83.1530748119,42.4237953552,0
-83.1554354862,42.2733803097,0
-83.075512616,42.3182727294,1
-83.0485579957,42.3425519951,1
-83.1517926002,42.334632616,0
-83.1479871512,42.2918156132,1
-83.1087754354,42.2969906814,1
-83.0400475661,42.4095981174,1
-83.1255505716,42.3561572766,1
-83.1132045769,42.4022676626,1
-83.0838460881,42.4359517809,0
-83.0120703731,42.3913266297,0
-83.0967244033,42.4336368386,1
-83.1336793009,42.3109453358,0
-83.1734224147,42.4212075681,0
-82.9922737012,42.3716322703,1
-83.1621022487,42.3552394171,0
-83.2424623671,42.3871149037,0
-83.2256123313,42.4259419739,1
-83.220652808,42.350204281,1
-82.9627005656,42.4006877626,0
-83.1511504169,42.2875622017,1
-82.9900141429,42.44491499,0
-83.0611135447,42.4144809109,1
-82.9967562728,42.3913013734,1
-82.9662195851,42.4109722221,0
-82.9378556244,42.4126607633,0
-83.1320708813,42.2946341696,0
-83.0357485919,42.3460357054,0
-83.1303220973,42.2990394522,1
-83.2237848529,42.3732240053,0
-83.0020231296,42.3837598924,1
-83.2268694913,42.3517016313,1
-82.94329877,42.3741097117,0
-83.1479871512,42.2918156132,1
-83.1273207299,42.3575338975,1
-83.1480244179,42.2896831845,1
-83.148860225,42.2878684832,1
-83.2553550288,42.4275309327,0
-82.9604786344,42.4488450418,1
-83.1556096329,42.3975977045,1
-82.9495357248,42.4477682955,1
-83.1651012762,42.2624704021,0
-83.089995348,42.3903764156,0
-83.0468761784,42.407671364,1
-83.2097648777,42.4034387492,0
-82.9364080068,42.396392069,1
-83.0109549012,42.3996878233,0
-83.1478620149,42.3925686466,0
-83.2085790665,42.4118119092,0
-83.1803901397,42.4445147889,1
-82.9919703293,42.4325340186,1
-83.1246885699,42.3057253607,1
-83.156391388,42.4435156831,0
-83.1164718333,42.3903190844,1
-83.2527589775,42.4331117131,1
-83.2662842299,42.3686192259,0
-83.12563653,42.3162101203,1
-83.2397534232,42.4221884128,0
-83.1099264805,42.2969053034,1
-83.2484826117,42.3997329918,1
-83.2545059388,42.3947022116,1
-83.2142399155,42.3493504876,0
-82.9469404302,42.4496176165,1
-83.0327375926,42.3754843589,0
-83.0886465656,42.4392150485,1
-82.9191812063,42.3994070266,1
-82.9529231884,42.3653693921,1
-82.9513651458,42.4133739621,1
-83.1870827491,42.4051582367,1
-83.2310858558,42.3847118545,1
-82.9587043113,42.4285954938,0
-83.0232642919,42.3665096042,1
-83.0752996116,42.4090148167,1
-83.1180745048,42.3465155013,0
-82.9890026116,42.4318016336,1
-82.9799225198,42.3714711428,1
-82.9507980118,42.411401915,1
-83.1486848474,42.2863727905,1
-83.1434046602,42.3511297452,0
-83.0093482577,42.4420797427,0
-82.9419718755,42.3968626157,0
-83.2594837719,42.395611432,1
-82.9971004068,42.3673403086,0
-83.1839078979,42.4048534857,1
-83.1190244566,42.3650249244,0
-83.155371403,42.3278291982,1
-83.2099539608,42.407530762,0
-82.9741494613,42.4248991453,1
-83.0618141088,42.4432218303,0
-82.9522349011,42.390273472,1
-83.0750773475,42.4082890793,1
-82.9402154778,42.4040802278,0
-83.1085468324,42.3531847922,0
-83.2503525401,42.3974204553,1
-83.1439833275,42.2755209819,0
-83.1712020661,42.3875273839,1
-83.0296690415,42.3571946101,0
-83.1955701616,42.3948443405,0
-82.9597178202,42.3818312085,0
-83.1410202633,42.3777977735,0
-83.0187665251,42.3680894152,1
-82.9535317227,42.4245638479,0
-83.0858067063,42.3641246438,1
-83.0374423681,42.3582571349,0
-83.1518321648,42.2868578883,0
-83.0996362802,42.3858272636,0
-82.995265522,42.3874485034,0
-83.1762246267,42.3681761867,1
-82.9975882823,42.3829119982,1
-83.1457273484,42.2822149447,1
-83.1291880327,42.3281509084,1
-83.2294513598,42.3732754178,0
-83.2527008556,42.3964955347,1
-83.2341494948,42.352396612,1
-83.132900055,42.409453799,1
-83.1474899011,42.2888103285,1
-83.1252636093,42.2992993805,1
-83.1588506548,42.2730024066,0
-83.1506024536,42.4108613569,1
-83.1452316774,42.2915116494,1
-83.2495158495,42.3964568735,1
-82.9529753477,42.3888757176,0
-83.260826852,42.4149410366,1
-83.0050300112,42.3555282106,0
-83.1767662323,42.4047657967,1
-83.0122935619,42.3837094182,1
-82.9782905113,42.4300346568,1
-83.2698430624,42.401224915,1
-83.1048765213,42.4329930796,1
-83.0574563613,42.3387218146,0
-83.0085022479,42.4156481604,0
-82.9944390893,42.3803962897,1
-83.1412465796,42.4080984195,0
-83.2676776567,42.4033558328,1
-83.148860225,42.2878684832,1
-83.132585302,42.3027291832,1
-83.1783567997,42.4288680481,0
-83.1290300133,42.3502699473,1
-83.0288816644,42.3634054586,1
-83.1321314784,42.3140874296,1
-83.1483128536,42.338057932,0
-83.0933386395,42.445170136,1
-82.9849664489,42.3971955448,1
-83.0004695614,42.3988150332,0
-82.9894340119,42.3670045294,1
-82.9916853326,42.437964325,1
-83.0897989674,42.4432784983,0
-83.1637631715,42.4275025492,1
-83.2362159985,42.4275746217,1
-82.9573605349,42.3749081644,0
-83.1388926415,42.4425979986,0
-83.0086821392,42.437183326,0
-83.0718676521,42.4138575256,1
-83.0756601863,42.4316141034,0
-83.1548850351,42.361752208,0
-83.0277799742,42.3992404243,0
-83.2398860537,42.4164298985,1
-83.1763865961,42.3865422488,0
-83.1586979478,42.2708522619,1
-82.9981752974,42.4358536478,1
-82.9567355415,42.4201762542,0
-83.197260468,42.4445996913,0
-83.0001791232,42.4243888915,1
-82.9151518595,42.4163722705,0
-83.0924356226,42.320070053,0
-83.1131285322,42.3282141439,0
-83.0003442135,42.439754809,1
-83.1149172974,42.3595005178,0
-83.2439091243,42.429743596,0
-82.9354854497,42.4230083847,0
-83.1279375481,42.3500843419,0
-82.9370010359,42.3629813378,0
-82.9701661175,42.4346730965,1
-83.2071496676,42.4043209121,0
-82.9737455045,42.4463763316,0
-83.0271228096,42.3717851001,1
-83.2076607035,42.3756185163,0
-83.0558042831,42.4386614269,1
-82.9610428232,42.391200002,1
-82.9669864669,42.3964444856,0
-82.9759963755,42.4394636451,1
-82.9846834962,42.4264381089,1
-83.0209754971,42.3704712317,1
-82.9320774979,42.4047328596,0
-83.0243299977,42.4177082204,0
-83.1090388244,42.3581794997,1
-83.1059623932,42.433818657,1
-83.1477699219,42.2878736157,1
-83.1245509917,42.3872168171,0
-83.0060788829,42.3846320723,1
-83.2240626199,42.3446954062,1
-83.13489682,42.3755864044,0
-82.975786965,42.3631160951,0
-83.083772064,42.3108375457,1
-83.102648088,42.3496526368,0
-83.2254538172,42.3948735748,1
-83.2115512113,42.4116145296,0
-83.1377868472,42.4085976783,0
