,long,lat,crime_inc
181,-83.2847,42.4426,1
182,-83.2846,42.4159,1
183,-83.2846,42.4172,1
184,-83.2846,42.4263,1
185,-83.2846,42.4358,1
186,-83.2846,42.4385,1
187,-83.2846,42.4422,1
188,-83.2846,42.4424,1
189,-83.2845,42.4102,1
190,-83.2845,42.4164,1
191,-83.2845,42.4246,1
192,-83.2845,42.4262,1
193,-83.2845,42.4329,1
194,-83.2845,42.4427,1
195,-83.2844,42.4091,1
196,-83.2844,42.4129,1
197,-83.2844,42.4135,1
198,-83.2844,42.4137,1
199,-83.2844,42.4138,1
200,-83.2844,42.414,2
201,-83.2844,42.4208,1
202,-83.2844,42.4266,1
203,-83.2844,42.4335,1
204,-83.2843,42.4091,1
205,-83.2843,42.4181,1
206,-83.2843,42.42,1
207,-83.2843,42.4331,1
208,-83.2843,42.4413,1
209,-83.2842,42.4177,1
210,-83.2842,42.4183,1
211,-83.2842,42.4198,1
212,-83.2842,42.4234,1
213,-83.2842,42.4363,1
214,-83.2842,42.4411,1
215,-83.2841,42.4091,1
216,-83.2841,42.417,1
217,-83.2841,42.4185,1
218,-83.2841,42.4187,1
219,-83.2841,42.419,1
220,-83.2841,42.4201,1
221,-83.2841,42.421,1
222,-83.2841,42.4234,1
223,-83.2841,42.4252,1
224,-83.2841,42.4415,1
225,-83.284,42.4161,1
226,-83.284,42.4176,1
227,-83.284,42.4182,1
228,-83.284,42.4189,1
229,-83.284,42.42,1
230,-83.284,42.4234,1
231,-83.284,42.4242,1
232,-83.284,42.4251,1
233,-83.284,42.4285,1
234,-83.284,42.4288,1
235,-83.284,42.432,1
236,-83.284,42.4373,1
237,-83.2839,42.4089,1
238,-83.2839,42.4103,1
239,-83.2839,42.4121,1
240,-83.2839,42.4144,1
241,-83.2839,42.416,1
242,-83.2839,42.4183,1
243,-83.2839,42.4272,1
244,-83.2839,42.4273,1
245,-83.2839,42.4287,1
246,-83.2839,42.4361,2
247,-83.2838,42.4083,1
248,-83.2838,42.4088,1
249,-83.2838,42.4133,1
250,-83.2838,42.4157,1
251,-83.2838,42.4326,1
252,-83.2838,42.4328,1
253,-83.2838,42.433,1
254,-83.2838,42.4351,1
255,-83.2838,42.4379,1
256,-83.2837,42.4098,1
257,-83.2837,42.4099,1
258,-83.2837,42.4142,1
259,-83.2837,42.4143,1
260,-83.2837,42.4145,1
261,-83.2837,42.4287,1
262,-83.2837,42.4288,1
263,-83.2837,42.4289,2
264,-83.2837,42.4299,1
265,-83.2836,42.4067,1
266,-83.2836,42.4143,1
267,-83.2836,42.4144,1
268,-83.2836,42.4147,1
269,-83.2836,42.4167,1
270,-83.2836,42.4248,1
271,-83.2836,42.4414,1
272,-83.2836,42.4415,1
273,-83.2835,42.4144,2
274,-83.2835,42.4145,1
275,-83.2835,42.4166,1
276,-83.2835,42.4206,1
277,-83.2835,42.4258,2
278,-83.2835,42.4291,1
279,-83.2835,42.4353,1
280,-83.2835,42.4381,1
281,-83.2835,42.4419,1
282,-83.2834,42.4077,1
283,-83.2834,42.4142,1
284,-83.2834,42.4143,2
285,-83.2834,42.4204,1
286,-83.2834,42.4246,1
287,-83.2834,42.4249,1
288,-83.2834,42.4253,1
289,-83.2834,42.4259,1
290,-83.2834,42.4287,1
291,-83.2834,42.429,1
292,-83.2834,42.4292,1
293,-83.2834,42.4352,1
294,-83.2834,42.4414,1
295,-83.2834,42.4417,1
296,-83.2834,42.4419,1
297,-83.2833,42.3628,1
298,-83.2833,42.4088,1
299,-83.2833,42.4203,1
300,-83.2833,42.4209,1
301,-83.2833,42.422,1
302,-83.2833,42.4226,1
303,-83.2833,42.429,1
304,-83.2833,42.4292,1
305,-83.2833,42.4293,1
306,-83.2833,42.4363,1
307,-83.2833,42.4424,1
308,-83.2832,42.4129,1
309,-83.2832,42.4134,1
310,-83.2832,42.414,2
311,-83.2832,42.4154,1
312,-83.2832,42.4204,1
313,-83.2832,42.437,2
314,-83.2832,42.4399,1
315,-83.2832,42.4421,1
316,-83.2831,42.4087,1
317,-83.2831,42.4127,1
318,-83.2831,42.4134,1
319,-83.2831,42.4141,1
320,-83.2831,42.4155,1
321,-83.2831,42.4156,1
322,-83.2831,42.4181,1
323,-83.2831,42.4194,1
324,-83.2831,42.4293,1
325,-83.2831,42.4333,1
326,-83.2831,42.4378,1
327,-83.283,42.4121,1
328,-83.283,42.4127,1
329,-83.283,42.413,1
330,-83.283,42.4139,2
331,-83.283,42.4163,1
332,-83.283,42.4164,1
333,-83.283,42.4268,1
334,-83.283,42.4286,1
335,-83.283,42.4287,2
336,-83.283,42.4372,1
337,-83.283,42.44,1
338,-83.2829,42.4101,1
339,-83.2829,42.4103,1
340,-83.2829,42.4104,1
341,-83.2829,42.4129,1
342,-83.2829,42.4147,1
343,-83.2829,42.4155,1
344,-83.2829,42.4199,1
345,-83.2829,42.4275,1
346,-83.2829,42.4288,1
347,-83.2829,42.4336,1
348,-83.2829,42.4361,1
349,-83.2829,42.44,1
350,-83.2828,42.4084,1
