,long,lat,inc_311
164,-83.2748604,42.4288235,1
165,-83.2748594508,42.3855302304,1
166,-83.274817,42.426774,1
167,-83.274792,42.426499,1
168,-83.274787,42.4263959,1
169,-83.27475,42.425484,1
170,-83.274479,42.430804,2
171,-83.2742976,42.4351993,1
172,-83.2742729,42.42651,1
173,-83.274254,42.426023,1
174,-83.274237,42.42564,1
175,-83.274199,42.382504,2
176,-83.274182251,42.4255359378,1
177,-83.274076581,42.3936967352,1
178,-83.273781,42.442028,1
179,-83.2737291,42.4153041,1
180,-83.2735749,42.439926,1
181,-83.2734915,42.4428296,1
182,-83.2734534,42.4006439,1
183,-83.2734534,42.40064391,1
184,-83.2733637,42.4233188,2
185,-83.273352,42.425559,1
186,-83.273323,42.424863,1
187,-83.273312,42.424599,2
188,-83.273269,42.42365,1
189,-83.2731012,42.4428426,1
190,-83.2730217124,42.4341878574,1
191,-83.2730071,42.4127256,1
192,-83.272889033,42.3987839511,1
193,-83.27284,42.412361,2
194,-83.2725027949,42.4057544954,1
195,-83.272499,42.38433,2
196,-83.2723516497,42.414196116,1
197,-83.272327,42.378962,1
198,-83.272254,42.412111,1
199,-83.2721425,42.4020279,1
200,-83.272115,42.426417,1
201,-83.272097,42.405991,1
202,-83.272077,42.42549,2
203,-83.271956,42.423864,1
204,-83.271708,42.381243,1
205,-83.2715186,42.3999532,1
206,-83.271479,42.402685,1
207,-83.271472,42.402545,1
208,-83.271333,42.423711,1
209,-83.271275,42.383595,1
210,-83.2712581,42.4008536,1
211,-83.270922,42.441952,1
212,-83.2709052015,42.3851928353,1
213,-83.270899,42.40344,1
214,-83.270877,42.402927,1
215,-83.270873,42.402834,1
216,-83.2708606036,42.441774974,1
217,-83.2708521,42.4003146,1
218,-83.27084,42.40176,1
219,-83.270835,42.401667,1
220,-83.2708318,42.4000115,1
221,-83.270826,42.427657,2
222,-83.270777,42.436458,1
223,-83.27055,42.405914,1
224,-83.270527,42.382366,1
225,-83.2705189,42.382152,1
226,-83.270463,42.403905,1
227,-83.2703625,42.3866285,1
228,-83.2702963427,42.4011845499,1
229,-83.2701766,42.4005883,1
230,-83.2701151156,42.4122440173,1
231,-83.270052,42.414327,1
232,-83.2700331509,42.4124499945,1
233,-83.2700195312,42.4121894836,1
234,-83.269971,42.3806749,2
235,-83.269967,42.380565,1
236,-83.2699127197,42.4124450684,1
237,-83.2699127197,42.4131240845,1
238,-83.2698745728,42.4139633179,1
239,-83.2698194194,42.3797858884,1
240,-83.2697945888,42.4122993606,1
241,-83.269749,42.412522,1
242,-83.2697412,42.3810565,1
243,-83.2697236671,42.3798403476,1
244,-83.269704,42.412173,1
245,-83.2696990967,42.4121131897,1
246,-83.269696,42.4123639,1
247,-83.2696762085,42.4100914001,1
248,-83.269376,42.403324,1
249,-83.269304,42.381734,2
250,-83.269297,42.381509,1
251,-83.2692383162,42.414129976,1
252,-83.269238,42.44131,2
253,-83.269198,42.407672,1
254,-83.2691802979,42.4083557129,1
255,-83.269175,42.442096,1
256,-83.26873,42.408302,1
257,-83.2686723,42.4410452,1
258,-83.268532774,42.4081853899,1
259,-83.2683396,42.4089736,1
260,-83.2682493,42.4088826,1
261,-83.2682037354,42.4089164734,1
262,-83.268066,42.3808269,1
263,-83.2680104,42.4403887,1
264,-83.2680079,42.4404549,1
265,-83.2679909,42.4404248,1
266,-83.267979,42.441459,1
267,-83.2678819,42.4002215,1
268,-83.267866,42.424859,1
269,-83.267796,42.438032,1
270,-83.2676656,42.4311429,1
271,-83.2675292969,42.4241826374,1
272,-83.267486,42.410876,1
273,-83.26748,42.399297,1
274,-83.2674411312,42.4038549101,1
275,-83.2673949,42.407187,1
276,-83.2673609,42.408982,1
277,-83.2672348022,42.4339523315,1
278,-83.2671585083,42.4076423645,1
279,-83.2671122,42.4100557,1
280,-83.2669853,42.4069832,1
281,-83.2669852,42.4078237,1
282,-83.266985,42.401102,2
283,-83.266975,42.400887,1
284,-83.266868,42.381686,1
