address,date,type,lat,long
4784  SEYBURN,8/20/15,Dismantle,42.374621999999995,-83.012558
3750  SEYBURN,8/20/15,Dismantle,42.368524,-83.008264
1052  PHILIP,8/20/15,Dismantle,42.3746284,-82.9423958
5287  DANIELS,8/20/15,Dismantle,42.337014,-83.13065399999998
13463  DWYER,8/20/15,Dismantle,42.41644369999999,-83.04081550000002
11630  DWYER,8/20/15,Dismantle,42.409087899999996,-83.039918
9262  DECATUR,8/20/15,Dismantle,42.3631162,-83.17978450000003
13716  GABLE,8/20/15,Dismantle,42.417561,-83.04134499999998
4541  25TH,8/20/15,Dismantle,42.3422845,-83.10036190000002
8584  MARK TWAIN,8/20/15,Dismantle,42.3531945,-83.0859569
9263  MENDOTA,8/20/15,Dismantle,42.36342970000001,-83.1645023
8947  TERRY,8/20/15,Dismantle,42.3604444,-83.19083559999999
4232  CHENE,8/20/15,Dismantle,42.361109,-83.037325
1185  CHALMERS,8/20/15,Dismantle,42.375267,-82.945977
1060  LAKEWOOD,8/20/15,Dismantle,42.373531299999996,-82.9456395
4072  TOWNSEND,8/20/15,Dismantle,42.37016,-83.01231299999998
4058  BLAINE,8/20/15,Dismantle,42.36499600000001,-83.11825999999998
11638  ILENE,8/20/15,Dismantle,42.374041,-83.16028
5261  STANTON,8/20/15,Dismantle,42.3514013,-83.0922299
20020  DERBY,8/20/15,Dismantle,42.441282,-83.10332199999998
4025- W PHILADELPHIA,8/20/15,Dismantle,,
11645  OTSEGO,8/20/15,Dismantle,42.377153,-83.13031099999998
404 W ROBINWOOD,8/20/15,Dismantle,41.7889239,-86.7453915
19330  BLACKSTONE,8/20/15,Dismantle,42.4318432,-83.25083070000002
4585  ROOSEVELT,8/20/15,Dismantle,42.342501,-83.10165099999998
4516  MCGRAW,8/20/15,Dismantle,42.3456598,-83.1157429
13476  GABLE,8/20/15,Dismantle,42.416633000000004,-83.04131199999998
8270  ROBSON,8/20/15,Dismantle,42.3545412,-83.1912835
5223  31ST,8/20/15,Dismantle,42.342424,-83.11663100000001
13505  DWYER,8/20/15,Dismantle,42.417033,-83.0407915
8511  DEXTER,8/20/15,Dismantle,42.364726,-83.114313
4385  51ST,8/20/15,Dismantle,42.3287048,-83.13367579999998
352  MANISTIQUE,8/20/15,Dismantle,42.3653048,-82.93505119999998
6243  EDWIN,8/20/15,Dismantle,42.4006124,-83.0388437
9086  BURNETTE,8/20/15,Dismantle,42.36206019999999,-83.1415932
12604  MORAN,8/20/15,Dismantle,42.4122739,-83.060014
5848  OGDEN,8/20/15,Dismantle,42.3353063,-83.1499285
6438  JOHN KRONK,8/20/15,Dismantle,42.3696711,-83.06993890000003
12033  INDIANA,8/20/15,Dismantle,42.3779014,-83.1569645
4044  CARTER,8/20/15,Dismantle,42.365787,-83.1185239
17844  RUSSELL,8/20/15,Dismantle,42.424263,-83.089394
19318  BENTLER,8/20/15,Dismantle,42.4314917,-83.253298
3473  GRANDY,8/20/15,Dismantle,42.3556184,-83.0317797
13709  DWYER,8/20/15,Dismantle,42.4174731,-83.04080350000002
2628  15TH,8/17/15,Dismantle,42.33326470000001,-83.07850909999998
19230  ROGGE,8/13/15,Dismantle,42.4357776,-83.02949770000002
4856  BURNS,8/13/15,Dismantle,42.37829179999999,-83.0064051
2420  MCPHERSON,8/13/15,Dismantle,42.40534299999999,-83.068603
16308  CORAM,8/13/15,Dismantle,42.43819000000001,-82.951105
16253  LAPPIN,8/13/15,Dismantle,42.437708,-82.952221
8009  BELLE,8/13/15,Dismantle,42.3150094,-83.1303946
15817  STOEPEL,8/13/15,Dismantle,42.4078526,-83.1417189
15908  LIBERAL,8/13/15,Dismantle,42.43983,-82.956041
15848  LIBERAL,8/13/15,Dismantle,42.4398708,-82.9571502
10852  STRATMANN,8/13/15,Dismantle,42.417376000000004,-82.956717
6941  GRATIOT,8/13/15,Dismantle,42.371544,-83.019847
16276  CORAM,8/13/15,Dismantle,42.438089,-82.951787
16117  CORAM,8/13/15,Dismantle,42.43859399999999,-82.953462
12267  MORAN,8/13/15,Dismantle,42.40944400000001,-83.058809
3955  MT ELLIOTT,8/13/15,Dismantle,43.079109499999994,-83.70634820000002
8286  GRANDVILLE,8/13/15,Dismantle,42.3535099,-83.22945809999999
3118  CONCORD,8/13/15,Dismantle,42.36075,-83.014352
8040  HEYDEN,8/13/15,Dismantle,42.35098259999999,-83.2378658
2925  HALLECK,8/13/15,Dismantle,42.40869050000001,-83.0650503
8515  FIELDING,8/13/15,Dismantle,42.3555,-83.240996
7811  LONGACRE,8/13/15,Dismantle,42.3496972,-83.21418759999997
2936  MCPHERSON,8/13/15,Dismantle,42.407103899999996,-83.06371
18100  HEYDEN,8/13/15,Dismantle,42.3772527,-83.2386652
6038  MINOCK,8/13/15,Dismantle,42.3329685,-83.23104769999998
8076  HEYDEN,8/13/15,Dismantle,42.3514778,-83.237824
4853  MAXWELL,8/13/15,Dismantle,42.375889,-83.010305
15231 E STATE FAIR,8/13/15,Dismantle,42.33142700000001,-83.0457538
19231  ALGONAC,8/13/15,Dismantle,42.436173499999995,-83.0104241
7720  FORRER,8/13/15,Dismantle,42.3487361,-83.1999179
15293  CORAM,8/13/15,Dismantle,42.438404,-82.963589
12000  FIELDING,8/13/15,Dismantle,42.3741735,-83.2410864
3911  SOBIESKI,8/13/15,Dismantle,42.4102637,-83.0554975
13400  RYAN,8/13/15,Dismantle,42.415234999999996,-83.059721
2532  CAMPBELL,8/13/15,Dismantle,42.322336,-83.10710499999998
13184  MORAN,8/13/15,Dismantle,42.4141525,-83.0615016
19375  ALGONAC,8/13/15,Dismantle,42.4374088,-83.01047650000002
2402  LAWLEY,8/13/15,Dismantle,42.409109,-83.071489
3064  SHERIDAN,8/13/15,Dismantle,42.3632332,-83.00900440000002
5141  GARVIN,8/13/15,Dismantle,42.411159999999995,-83.04961399999998
2901  BALDWIN,8/13/15,Dismantle,42.36179170000001,-83.00619520000002
8437  ROSEMONT,8/13/15,Dismantle,42.354886,-83.2190281
7703  DEXTER,8/12/15,Dismantle,42.3603237,-83.1113846
3903  CICOTTE,8/12/15,Dismantle,42.329110799999995,-83.1225731
6846  PARKWOOD,8/12/15,Dismantle,42.329392999999996,-83.127215
4655  BRADEN,8/12/15,Dismantle,42.33187879999999,-83.12977959999998
3228  CICOTTE,8/12/15,Dismantle,42.324381,-83.118202
4720  THREE MILE,8/12/15,Dismantle,42.364368799999994,-83.02426779999998
16191  PATTON,8/12/15,Dismantle,42.4091376,-83.24439040000001
17378  RUSSELL,8/12/15,Dismantle,42.42119599999999,-83.08927899999998
17392  RUSSELL,8/12/15,Dismantle,42.421361,-83.089287
17615  CARDONI,8/12/15,Dismantle,42.42335420000001,-83.0911818
5709  BUCKINGHAM,8/12/15,Dismantle,42.4060287,-82.947446
20207  NORWOOD,8/12/15,Dismantle,42.4442349,-83.06807940000002
19706  KLINGER,8/12/15,Dismantle,42.439485999999995,-83.069222
18481  DEAN,8/12/15,Dismantle,42.42890360000001,-83.06200439999998
20131  CHAREST,8/12/15,Dismantle,42.443138899999994,-83.0720631
18454  DEAN,8/12/15,Dismantle,42.428618900000004,-83.06132740000002
3401  LIVERNOIS,8/12/15,Dismantle,42.32606750000001,-83.1171676
9200  COYLE,8/12/15,Dismantle,42.362103999999995,-83.19245099999998
6826  ASHTON,8/12/15,Dismantle,42.3415461,-83.2168236
13167  BIRWOOD,8/12/15,Dismantle,42.3845269,-83.1634973
15464  NORTHLAWN,8/12/15,Dismantle,42.405352,-83.153077
8508  DEXTER,8/12/15,Dismantle,42.364998,-83.113576
17598  CARDONI,8/12/15,Dismantle,42.423193,-83.0908194
17815  CARDONI,8/12/15,Dismantle,42.423799,-83.091269
19300  NORWOOD,8/12/15,Dismantle,42.43580679999999,-83.0670729
7417  EDWARD,8/12/15,Dismantle,42.325123,-83.13212
4705  LUMLEY,8/12/15,Dismantle,42.3289972,-83.1398339
4435  CICOTTE,8/12/15,Dismantle,42.33284700000001,-83.124922
3665  GILBERT,8/12/15,Dismantle,42.3277627,-83.11989129999998
19944  OMIRA,8/12/15,Dismantle,42.4404747,-83.0957889
17315  HULL,8/12/15,Dismantle,42.4203359,-83.0886665
3935  BUCKINGHAM,8/12/15,Dismantle,42.393144,-82.938985
5291  BUCKINGHAM,8/12/15,Dismantle,42.4037158,-82.9458609
20173  CHAREST,8/12/15,Dismantle,42.443717,-83.072147
5048  CENTRAL,8/12/15,Dismantle,42.33310789999999,-83.13878659999997
6931  MERCIER,8/12/15,Dismantle,42.3248934,-83.12567359999998
4410  EWERS,8/12/15,Dismantle,42.329812200000006,-83.13177549999997
4545  HAMMOND,8/12/15,Dismantle,42.334384,-83.11996099999998
16820  GREYDALE,8/12/15,Dismantle,42.4129915,-83.2559324
8401  DEXTER,8/12/15,Dismantle,42.363935,-83.113778
17210  HULL,8/12/15,Dismantle,42.419869,-83.087982
5582  BUCKINGHAM,8/12/15,Dismantle,42.405458,-82.94630699999998
5510  BUCKINGHAM,8/12/15,Dismantle,42.40457,-82.94572400000001
20180  NORWOOD,8/12/15,Dismantle,42.4438606,-83.06757610000003
20286  MOENART,8/12/15,Dismantle,42.445655,-83.05046569999998
4201  BUCKINGHAM,8/12/15,Dismantle,42.395561,-82.94056599999998
19602  CHAREST,8/12/15,Dismantle,42.43800510000001,-83.0713268
19460  JUSTINE,8/12/15,Dismantle,42.4380266,-83.05877950000001
18490  JUSTINE,8/12/15,Dismantle,42.42911300000001,-83.058144
6880  WALDO,8/12/15,Dismantle,42.3284849,-83.1272972
4669  BRADEN,8/12/15,Dismantle,42.332009,-83.129829
16503  STOUT,8/12/15,Dismantle,42.4097334,-83.2421738
9031  DEXTER,8/12/15,Dismantle,42.369113,-83.117277
4228  LARCHMONT,8/12/15,Dismantle,42.3565169,-83.113714
9016  DEXTER,8/12/15,Dismantle,42.369281,-83.11646999999998
17398  RUSSELL,8/12/15,Dismantle,42.4214429,-83.08928999999998
5807  BUCKINGHAM,8/12/15,Dismantle,42.407189,-82.94815190000001
20263  GALLAGHER,8/12/15,Dismantle,42.4449247,-83.07110990000002
20153  GODDARD,8/12/15,Dismantle,42.443376799999996,-83.0778916
12843  DWYER,8/12/15,Dismantle,42.4126581,-83.0406847
5501  BUCKINGHAM,8/12/15,Dismantle,42.40426069999999,-82.9462176
4969  DANIELS,8/12/15,Dismantle,42.334942,-83.12908
4640  WESSON,8/12/15,Dismantle,42.336154,-83.118605
17604  CARDONI,8/12/15,Dismantle,42.423279799999996,-83.09083000000003
17920  HAWTHORNE,8/12/15,Dismantle,42.424689,-83.091825
17565  GABLE,8/12/15,Dismantle,42.42398499999999,-83.042496
5926  CHARLES,8/12/15,Dismantle,42.411667,-83.042025
4847  CHOPIN,8/12/15,Dismantle,42.332913399999995,-83.13487119999998
13635  MEYERS,8/12/15,Dismantle,42.387758700000006,-83.16894079999999
4413  OREGON,8/12/15,Dismantle,42.358527,-83.117735
6808  SCOTTEN,8/12/15,Dismantle,42.355424,-83.11191
17193  GREELEY,8/12/15,Dismantle,42.419637,-83.08744
17404  RUSSELL,8/12/15,Dismantle,42.4215454,-83.08956649999998
17809  CARDONI,8/12/15,Dismantle,42.423716,-83.09126599999998
6530  LONGACRE,8/12/15,Dismantle,42.3394446,-83.21301600000002
20418  NORWOOD,8/12/15,Dismantle,42.445471999999995,-83.067493
20241  MOENART,8/12/15,Dismantle,42.4449215,-83.0509691
20271  MOENART,8/12/15,Dismantle,42.445374799999996,-83.05088520000002
20221  GALLAGHER,8/12/15,Dismantle,42.4444202,-83.07114059999998
6829  CLAYTON,8/12/15,Dismantle,42.326116999999996,-83.12456999999998
6419  OTIS,8/12/15,Dismantle,42.325187,-83.11826599999998
4893  GRAYTON,8/12/15,Dismantle,42.404615,-82.931911
4921  28TH,8/12/15,Dismantle,42.340482,-83.11193399999998
13501  OHIO,8/12/15,Dismantle,42.3862934,-83.15528940000002
20486  CAMERON,8/12/15,Dismantle,42.446019,-83.09370299999998
8535  DEXTER,8/12/15,Dismantle,42.364998,-83.114497
4238  LARCHMONT,8/12/15,Dismantle,42.356476,-83.113821
6802  SCOTTEN,8/12/15,Dismantle,42.355342,-83.111908
15456  PARKSIDE,8/12/15,Dismantle,42.4055451,-83.1312878
20260  CAMERON,8/12/15,Dismantle,42.444631,-83.093644
19323  HARNED,8/12/15,Dismantle,42.4359123,-83.0738662
8630  DEXTER,8/11/15,Dismantle,42.3659729,-83.114234
9515  PRAIRIE,8/11/15,Dismantle,42.3668156,-83.14368759999998
6503  GLADYS,8/11/15,Dismantle,42.338814899999996,-83.12920500000001
1137  SOLVAY,8/11/15,Dismantle,42.304713,-83.117914
4719  TIREMAN,8/11/15,Dismantle,42.353454,-83.11749999999998
